Time,Pressure (10^-12 Pa)
02:41,78
02:44,70
02:47,40
02:50,41
02:53,63
02:56,57
02:59,59
03:01,36
03:04,13
03:07,4
03:10,26
03:13,77
03:16,52
03:19,8
03:22,73
03:24,44
03:27,29
03:30,48
03:33,70
03:36,56
03:39,77
03:42,80
03:45,61
03:47,85
03:50,18
03:53,1
03:56,62
03:59,11
04:02,67
04:05,41
04:08,79
04:11,10
04:13,11
04:16,80
04:19,98
04:22,48
04:25,51
04:28,41
04:31,80
04:34,66
04:36,98
04:39,10
04:42,31
04:45,2
04:48,74
04:51,62
04:54,61
04:57,59
04:59,5
05:02,43
05:05,93
05:08,21
05:11,28
05:14,32
05:17,65
05:20,97
05:23,59
05:25,89
05:28,49
05:31,78
05:34,60
05:37,28
05:40,38
05:43,14
05:46,33
05:48,94
05:51,65
05:54,63
05:57,2
06:00,12
06:03,98
06:06,80
06:09,3
06:11,12
06:14,44
06:17,50
06:20,3
06:23,84
06:26,60
06:29,64
06:32,78
06:35,37
06:37,24
06:40,30
06:43,2
06:46,66
06:49,88
06:52,21
06:55,22
06:58,49
07:00,74
07:03,75
07:06,5
07:09,41
07:12,98
07:15,74
07:18,98
07:21,46
07:23,76
07:26,41
07:29,95
07:32,71
07:35,25
07:38,59
07:41,74
07:44,86
07:47,53
07:49,37
07:52,82
07:55,1
07:58,24
08:01,20
08:04,16
08:07,12
08:10,24
08:12,25
08:15,47
08:18,18
08:21,54
08:24,74
08:27,76
08:30,52
08:33,56
08:35,17
08:38,27
08:41,39
08:44,94
08:47,69
08:50,23
08:53,22
08:56,5
08:59,61
09:01,63
09:04,39
09:07,81
09:10,20
09:13,10
09:16,81
09:19,50
09:22,42
09:24,10
09:27,1
09:30,90
09:33,45
09:36,74
09:39,32
09:42,65
09:45,63
09:47,57
09:50,52
09:53,53
09:56,76
09:59,36
10:02,88
10:05,64
10:08,78
